Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us);
RoundRobin;1;0;9;196;1140;
RoundRobin;1;0;9;196;984;
RoundRobin;1;0;9;196;994;
RoundRobin;1;0;9;196;760;
RoundRobin;1;0;9;196;744;
RoundRobin;1;0;9;196;930;
RoundRobin;1;0;9;196;997;
RoundRobin;1;0;9;196;797;
RoundRobin;1;0;9;196;1118;
RoundRobin;1;0;9;196;778;
RoundRobin;1;0;9;196;847;
RoundRobin;1;0;9;196;1026;
RoundRobin;1;0;9;196;906;
RoundRobin;1;0;9;196;1667;
RoundRobin;1;0;9;196;803;
RoundRobin;1;0;9;196;1025;
RoundRobin;1;0;9;196;1251;
RoundRobin;1;0;9;196;886;
RoundRobin;1;0;9;196;1019;
RoundRobin;1;0;9;196;855;
RoundRobin;1;0;9;196;870;
RoundRobin;1;0;9;196;813;
RoundRobin;1;0;9;196;1047;
RoundRobin;1;0;9;196;840;
RoundRobin;1;0;9;196;961;
RoundRobin;1;0;9;196;914;
RoundRobin;1;0;9;196;957;
RoundRobin;1;0;9;196;1518;
RoundRobin;1;0;9;196;869;
RoundRobin;1;0;9;196;1047;
RoundRobin;1;0;9;196;893;
RoundRobin;1;0;9;196;809;
RoundRobin;1;0;9;196;898;
RoundRobin;1;0;9;196;821;
RoundRobin;1;0;9;196;784;
RoundRobin;1;0;9;196;826;
RoundRobin;1;0;9;196;814;
RoundRobin;1;0;9;196;836;
RoundRobin;1;0;9;196;854;
RoundRobin;1;0;9;196;826;
RoundRobin;1;0;9;196;887;
RoundRobin;1;0;9;196;1064;
RoundRobin;1;0;9;196;916;
RoundRobin;1;0;9;196;893;
RoundRobin;1;0;9;196;838;
RoundRobin;1;0;9;196;951;
RoundRobin;1;0;9;196;939;
RoundRobin;1;0;9;196;880;
RoundRobin;1;0;9;196;958;
RoundRobin;1;0;9;196;967;
RoundRobin;1;0;9;196;955;
RoundRobin;1;0;9;196;1213;
RoundRobin;1;0;9;196;1182;
RoundRobin;1;0;9;196;973;
RoundRobin;1;0;9;196;915;
RoundRobin;1;0;9;196;949;
RoundRobin;1;0;9;196;902;
RoundRobin;1;0;9;196;916;
RoundRobin;1;0;9;196;813;
RoundRobin;1;0;9;196;1456;
RoundRobin;1;0;9;196;864;
RoundRobin;1;0;9;196;933;
RoundRobin;1;0;9;196;1284;
RoundRobin;1;0;9;196;950;
RoundRobin;1;0;9;196;855;
RoundRobin;1;0;9;196;913;
RoundRobin;1;0;9;196;958;
RoundRobin;1;0;9;196;901;
RoundRobin;1;0;9;196;1019;
RoundRobin;1;0;9;196;910;
RoundRobin;1;0;9;196;1008;
RoundRobin;1;0;9;196;925;
RoundRobin;1;0;9;196;925;
RoundRobin;1;0;9;196;888;
RoundRobin;1;0;9;196;985;
RoundRobin;1;0;9;196;867;
RoundRobin;1;0;9;196;873;
RoundRobin;1;0;9;196;805;
RoundRobin;1;0;9;196;801;
RoundRobin;1;0;9;196;929;
RoundRobin;1;0;9;196;819;
RoundRobin;1;0;9;196;864;
RoundRobin;1;0;9;196;841;
RoundRobin;1;0;9;196;1029;
RoundRobin;1;0;9;196;726;
RoundRobin;1;0;9;196;876;
RoundRobin;1;0;9;196;1074;
RoundRobin;1;0;9;196;943;
RoundRobin;1;0;9;196;823;
RoundRobin;1;0;9;196;789;
RoundRobin;1;0;9;196;1097;
RoundRobin;1;0;9;196;951;
RoundRobin;1;0;9;196;928;
RoundRobin;1;0;9;196;900;
RoundRobin;1;0;9;196;1022;
RoundRobin;1;0;9;196;1073;
RoundRobin;1;0;9;196;965;
RoundRobin;1;0;9;196;855;
RoundRobin;1;0;9;196;903;
RoundRobin;1;0;9;196;764;
