Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
First Come;1;1;9;196;871;
First Come;1;1;9;196;776;
First Come;1;1;9;196;834;
First Come;1;1;9;196;801;
First Come;1;1;9;196;1091;
First Come;1;1;9;196;818;
First Come;1;1;9;196;854;
First Come;1;1;9;196;970;
First Come;1;1;9;196;1215;
First Come;1;1;9;196;1425;
First Come;1;1;9;196;1089;
First Come;1;1;9;196;1096;
First Come;1;1;9;196;835;
First Come;1;1;9;196;883;
First Come;1;1;9;196;780;
First Come;1;1;9;196;1070;
First Come;1;1;9;196;971;
First Come;1;1;9;196;819;
First Come;1;1;9;196;796;
First Come;1;1;9;196;761;
First Come;1;1;9;196;756;
First Come;1;1;9;196;842;
First Come;1;1;9;196;1025;
First Come;1;1;9;196;1314;
First Come;1;1;9;196;1002;
First Come;1;1;9;196;1097;
First Come;1;1;9;196;923;
First Come;1;1;9;196;887;
First Come;1;1;9;196;996;
First Come;1;1;9;196;1009;
First Come;1;1;9;196;1025;
First Come;1;1;9;196;809;
First Come;1;1;9;196;1123;
First Come;1;1;9;196;948;
First Come;1;1;9;196;937;
First Come;1;1;9;196;819;
First Come;1;1;9;196;787;
First Come;1;1;9;196;924;
First Come;1;1;9;196;790;
First Come;1;1;9;196;1052;
First Come;1;1;9;196;769;
First Come;1;1;9;196;877;
First Come;1;1;9;196;790;
First Come;1;1;9;196;850;
First Come;1;1;9;196;974;
First Come;1;1;9;196;844;
First Come;1;1;9;196;850;
First Come;1;1;9;196;923;
First Come;1;1;9;196;869;
First Come;1;1;9;196;785;
First Come;1;1;9;196;945;
First Come;1;1;9;196;835;
First Come;1;1;9;196;839;
First Come;1;1;9;196;765;
First Come;1;1;9;196;779;
First Come;1;1;9;196;1021;
First Come;1;1;9;196;881;
First Come;1;1;9;196;1141;
First Come;1;1;9;196;817;
First Come;1;1;9;196;1159;
First Come;1;1;9;196;1089;
First Come;1;1;9;196;1314;
First Come;1;1;9;196;1211;
First Come;1;1;9;196;925;
First Come;1;1;9;196;964;
First Come;1;1;9;196;857;
First Come;1;1;9;196;1149;
First Come;1;1;9;196;1074;
First Come;1;1;9;196;869;
First Come;1;1;9;196;957;
First Come;1;1;9;196;1010;
First Come;1;1;9;196;1297;
First Come;1;1;9;196;940;
First Come;1;1;9;196;1095;
First Come;1;1;9;196;991;
First Come;1;1;9;196;1074;
First Come;1;1;9;196;1044;
First Come;1;1;9;196;971;
First Come;1;1;9;196;1026;
First Come;1;1;9;196;803;
First Come;1;1;9;196;1174;
First Come;1;1;9;196;832;
First Come;1;1;9;196;808;
First Come;1;1;9;196;871;
First Come;1;1;9;196;946;
First Come;1;1;9;196;849;
First Come;1;1;9;196;864;
First Come;1;1;9;196;1007;
First Come;1;1;9;196;854;
First Come;1;1;9;196;1085;
First Come;1;1;9;196;916;
First Come;1;1;9;196;832;
First Come;1;1;9;196;1386;
First Come;1;1;9;196;980;
First Come;1;1;9;196;1208;
First Come;1;1;9;196;875;
First Come;1;1;9;196;906;
First Come;1;1;9;196;1102;
First Come;1;1;9;196;977;
First Come;1;1;9;196;1019;
