Escalonador;QtdCores;UsaCache;QtdUla;QtdPipeline;Duração (us)
RoundRobin;2;1;3;213;765;
RoundRobin;2;1;6;216;995;
RoundRobin;2;1;3;213;985;
RoundRobin;2;1;3;210;908;
RoundRobin;2;1;3;213;797;
RoundRobin;2;1;3;216;1260;
RoundRobin;2;1;3;210;954;
RoundRobin;2;1;3;210;847;
RoundRobin;2;1;3;213;1062;
RoundRobin;2;1;3;213;1096;
RoundRobin;2;1;3;213;1234;
RoundRobin;2;1;3;213;1062;
RoundRobin;2;1;3;213;1485;
RoundRobin;2;1;3;213;1277;
RoundRobin;2;1;3;213;1097;
RoundRobin;2;1;3;210;972;
RoundRobin;2;1;3;213;854;
RoundRobin;2;1;6;219;1125;
RoundRobin;2;1;3;213;974;
RoundRobin;2;1;3;210;944;
RoundRobin;2;1;3;210;1079;
RoundRobin;2;1;3;216;931;
RoundRobin;2;1;3;216;1236;
RoundRobin;2;1;3;213;1077;
RoundRobin;2;1;3;213;1391;
RoundRobin;2;1;3;213;1053;
RoundRobin;2;1;6;219;1092;
RoundRobin;2;1;3;213;1032;
RoundRobin;2;1;3;213;999;
RoundRobin;2;1;3;216;1397;
RoundRobin;2;1;3;216;1141;
RoundRobin;2;1;3;213;873;
RoundRobin;2;1;3;210;975;
RoundRobin;2;1;6;219;1031;
RoundRobin;2;1;3;216;1176;
RoundRobin;2;1;3;213;750;
RoundRobin;2;1;3;213;1082;
RoundRobin;2;1;3;213;936;
RoundRobin;2;1;3;216;1039;
RoundRobin;2;1;3;213;1358;
RoundRobin;2;1;6;219;1351;
RoundRobin;2;1;3;213;1277;
RoundRobin;2;1;3;210;775;
RoundRobin;2;1;3;216;1306;
RoundRobin;2;1;3;213;1082;
RoundRobin;2;1;3;216;1357;
RoundRobin;2;1;3;213;801;
RoundRobin;2;1;6;219;1155;
RoundRobin;2;1;3;213;818;
RoundRobin;2;1;6;219;1129;
RoundRobin;2;1;3;210;918;
RoundRobin;2;1;3;213;1077;
RoundRobin;2;1;3;210;1091;
RoundRobin;2;1;3;216;799;
RoundRobin;2;1;3;210;1086;
RoundRobin;2;1;3;213;980;
RoundRobin;2;1;3;213;1240;
RoundRobin;2;1;3;213;681;
RoundRobin;2;1;3;213;1810;
RoundRobin;2;1;3;213;1946;
RoundRobin;2;1;3;213;748;
RoundRobin;2;1;3;216;1439;
RoundRobin;2;1;3;213;737;
RoundRobin;2;1;3;213;1680;
RoundRobin;2;1;3;213;965;
RoundRobin;2;1;3;213;1022;
RoundRobin;2;1;3;216;1052;
RoundRobin;2;1;3;210;783;
RoundRobin;2;1;3;213;1536;
RoundRobin;2;1;3;210;720;
RoundRobin;2;1;3;210;942;
RoundRobin;2;1;3;216;1228;
RoundRobin;2;1;3;210;1029;
RoundRobin;2;1;3;210;965;
RoundRobin;2;1;3;213;1112;
RoundRobin;2;1;3;213;1189;
RoundRobin;2;1;3;210;1016;
RoundRobin;2;1;6;222;1180;
RoundRobin;2;1;6;291;798;
RoundRobin;2;1;3;210;1041;
RoundRobin;2;1;6;219;1211;
RoundRobin;2;1;3;210;798;
RoundRobin;2;1;3;210;770;
RoundRobin;2;1;6;219;1228;
RoundRobin;2;1;3;216;1440;
RoundRobin;2;1;3;210;854;
RoundRobin;2;1;3;210;1064;
RoundRobin;2;1;3;216;1090;
RoundRobin;2;1;3;210;1040;
RoundRobin;2;1;3;213;1281;
RoundRobin;2;1;3;213;957;
RoundRobin;2;1;3;210;1036;
RoundRobin;2;1;3;178;1493;
RoundRobin;2;1;3;213;986;
RoundRobin;2;1;3;216;1151;
RoundRobin;2;1;3;213;753;
RoundRobin;2;1;3;210;916;
RoundRobin;2;1;3;213;751;
RoundRobin;2;1;6;291;1338;
RoundRobin;2;1;3;213;977;
